id,artist_id,artist_popularity,artist_followers_total,main_artist
0iHQD3mRm4QZMfLSZUQcwl,1Mw40k757jZuiL0NIJpdO5,56,12372,GULEED
1pmyTzRjcz1qAowK5jYEEd,5qisLjDrKoHMI9zOK2hfzs,63,480463,Mister V
2ECa2abJzm8ogoS4KZGCPl,2SrSdSvpminqmStGELCSNd,77,2428409,Stormzy
66IiiMFx70yui8C6MzPhQN,5awQWdBpLqN2KFVRN8w56T,60,113358,Highasakite
2Ne0nfK5yAGcnMwOvcMDKo,3zM12oJgWeFu7k2kl9I3UB,43,18767,EMIL TRF
4HoWTpbokfnVjgVs0Crhhi,0I0zS0aiq9JeGMBT45x6d8,62,65749,Greekazo
1VFBkMpRyUYbQUR1ZHUnP1,5Zkp6UaHTafGRXROGj6W0S,46,237618,Mohamed AlSalim
37J6yKJ18QJdHR2RTRE55O,4DDoAL8n6ob19r3jOZEbJI,64,1194378,Kana Nishino
3n3x4saKCr5Y6XTzXXpiM6,54CixfaGAPcjkP7Dx5PjvV,55,48595,El Papi
7t8YmybkNzEyHwjBRzljic,7699UdGcD8ESAKxTcrwKvj,33,3434,Huginn
39owtzAquOeE2FPKi0YvDL,1UIPahyz7pEKaU6RQvU3FC,50,194827,Follow The Flow
5lc4C1q3NhdRq0qeth0PrP,0lzYw5xI9jgMg8O5i4bTre,60,97014,LouiVos
0A1oiSJ5Q3glDm8kogmsYF,0zoMmzmyi8N8LwzhyXPvtk,67,86295,Mara Sattei
3woBmkUzlOAYDAANTmOJpg,0UtXMxHMXhwQUI6G6TFDt1,49,50522,Gin Lee
1F1qebfYF2rvc1Q0CpM5hf,0YqeL4iGLLNiwRXZvew1TM,61,546273,Larry
4WbKmrxCQ8gp8qEjyRpXtb,5xSx2FM8mQnrfgM1QsHniB,78,3532057,Danna Paola
47yhjEwyOgNPPLHLL8OGLV,2kXKa3aAFngGz2P4GjG5w2,76,1501054,SCH
1zUtXt0o5gOHzOfju4QKS5,6h1s4i4XKIYv4ErDelLDN0,75,1116790,Samra
5m2XYNroEL5ceFFPDngYe2,75i9GaW2MJUgt4BkdUnuUY,80,905480,MC Ryan SP
5AtdrDap9L58LyyY1pJ2ks,7KLSx8HrgJJR3DmrT38sRS,0,5404,Duane MCClure
7gXWIxX7rUtKGNtRkot8p3,4TGltjqP0MQxdGeSIrM4es,56,507109,RIDSA
0e1O9L2YYn1kb7JDaNPJ0N,6I8ljltXh3l5H8hgKMSeAG,31,1748,Yung Nigo Drippin'
7G7ao6iFuNIn2k9cZhO5lP,2elBjNSdBE2Y3f0j1mjrql,74,2902193,Jay Chou
3I1WAraNkbLEDxpCDaipRg,1IAEef07H0fd9aA8aUHUlL,63,916298,Omer Adam
36FsrMyH4ld5taZAtxhUrB,00UMLCX51uNiBzMhQKlwyQ,49,45002,Loco Escrito
2CR7XL1LdcW13hUxXieJdz,0w0OJxtDe1dOnbbCRYdh3D,34,4799,Prusax
7EyzYRgWRE4o0VFsZHjZHy,3ml6MvdCLzBBhK2zT9AhOl,48,4332,Micky Skeel
3ve2nu3WuTvWIeAe8R0ZTh,145RezaSLWGxp3SLnAcHPr,56,138625,Earth
27AF1R9w1bIMutLr6N75Nh,5tG5dl5mS2wB5w72YBpsyg,62,574770,Herbert Grönemeyer
6MV7iz4a9AdLJrrFRjhhPW,19CxlXaWOlZh2pqZrJlHxN,58,25722,Frsh
62uolmVjOio9xIfwDM1ZvC,6jGMq4yGs7aQzuGsMgVgZR,86,4576117,Lil Tjay
6krr1QQpT7nN8fjLjdWXIC,2UwqpfQtNuhBwviIC0f2ie,78,3407524,Damso
6Ep6BzIOB9tz3P4sWqiiAB,53XhwfbYqKCa1cC15pYq2q,93,38254718,Imagine Dragons
6gS8rVuLxMQJNNj9Vm8dVU,0IA4SdCS8HBDX6oBoOlgaf,56,65949,F1rstman
33Gp4MNKjBctVbCu2PK9O3,1K21aU29xAqoKoqbFgpPUt,60,285582,GSPD
7rRRMgjZaCjzutmwYMlGg1,0JROVv4P85ZVPFbaJIqAty,53,137246,Kiro Akiyama
4xODZCO3ZUlcQoxKxwhdNZ,4CuMwzDzEdlUJMEna38VQ0,62,1271518,Dark Polo Gang
38qmiwhxHyk189QZKOrAn4,6pdcQa7by8IKuoVXvgknlI,66,771857,Rilès
4iTLNdQ7pBG0iCediXhaUF,3X23gpg1vPacr0hBARyxtN,70,230348,Karpe
4aLpjCv5xrOHhuzS11nZMD,5qgCrzMzASs1YpEMSp7tGt,43,52786,Rasmentalism
29VVYrV5TVpGu0IfoTXlcw,7k73EtZwoPs516ZxE72KsO,72,4252843,ONE OK ROCK
4fFfyouye6vrX9o9z4PVMu,5JZ7CnR6gTvEMKX4g70Amv,83,4820651,Lauv
1zESrnRWYKHXKFWZTDdu2C,5pVRwX5ZQR7hfJ18w8ZYkl,77,1773339,Ufo361
